Country,Indicator
Afghanistan,0.7
Albania,2.7
Algeria,20
Angola,39
Argentina,3.1
Armenia,3
Australia,9.6
Austria,0.2
Azerbaijan,30.5
Bahrain,4.8
Bangladesh,1.2
Barbados,0.4
Belarus,1.4
Belize,5.4
Benin,4.7
Bhutan,5.2
Bolivia,9.6
Bosnia_and_Herzegovina,2.6
Botswana,4.9
Brazil,4.5
Brunei_Darussalam,22.5
Bulgaria,2.5
Burkina_Faso,14.9
Burundi,24.1
Cabo_Verde,0.5
Cambodia,2.7
Cameroon,8.4
Canada,2.8
Central_African_Republic,8.6
Chad,24.5
Chile,18.2
China,6.2
Colombia,6.3
Comoros,2.7
Congo_Dem_Rep,35.3
Congo_Rep,49.2
Equatorial_Guinea,32.1
Libya,55
Montenegro,1
Peru,11.1
Timor-Leste,184.1
Vietnam,8.1
